,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230818C00050000,0.005479452054794521,0.015384615384615385,127.85,1,50.0,127.85
1,O:AAPL230818C00100000,0.005479452054794521,0.012658227848101266,77.6,1,100.0,77.6
2,O:AAPL230818C00110000,0.005479452054794521,0.002403846153846154,68.02,2,110.0,68.02
3,O:AAPL230818C00120000,0.005479452054794521,0.0015432098765432098,57.15,2,120.0,57.15
4,O:AAPL230818C00130000,0.005479452054794521,0.12949640287769784,47.5,2,130.0,47.5
5,O:AAPL230818C00140000,0.005479452054794521,0.00030759766225776686,37.215,1,140.0,37.59
6,O:AAPL230818C00145000,0.005479452054794521,0.0035087719298245615,32.72,1,145.0,32.72
7,O:AAPL230818C00150000,0.005479452054794521,0.10297029702970296,28.1441,1,150.0,27.34
8,O:AAPL230818C00152500,0.005479452054794521,0.07142857142857142,25.25,1,152.5,25.25
9,O:AAPL230818C00155000,0.005479452054794521,0.07751312071053694,22.1079,1,155.0,22.9
10,O:AAPL230818C00157500,0.005479452054794521,0.04212860310421286,19.6411,1,157.5,20.3
11,O:AAPL230818C00160000,0.005479452054794521,0.025821064552661383,17.7415,1,160.0,17.69
12,O:AAPL230818C00162500,0.005479452054794521,0.05668016194331984,14.6896,1,162.5,15.05
13,O:AAPL230818C00165000,0.005479452054794521,0.039014373716632446,12.7254,1,165.0,12.31
14,O:AAPL230818C00167500,0.005479452054794521,0.09712230215827339,10.204,1,167.5,10.06
15,O:AAPL230818C00170000,0.005479452054794521,0.061208559096335755,7.7102,1,170.0,7.33
16,O:AAPL230818C00172500,0.005479452054794521,0.010503238664673642,5.3263,1,172.5,5.2
17,O:AAPL230818C00175000,0.005479452054794521,0.024429620052960923,2.94,1,175.0,2.96
18,O:AAPL230818C00177500,0.005479452054794521,0.2090138230350468,1.411,1,177.5,1.22
19,O:AAPL230818C00180000,0.005479452054794521,0.114563436632037,0.4683,1,180.0,0.38
20,O:AAPL230818C00182500,0.005479452054794521,0.10474415324358022,0.1077,1,182.5,0.08
21,O:AAPL230818C00185000,0.005479452054794521,0.06626173384870238,0.0312,1,185.0,0.05
22,O:AAPL230818C00187500,0.005479452054794521,0.0461461050568716,0.018,1,187.5,0.01
23,O:AAPL230818C00190000,0.005479452054794521,0.020191373150264882,0.01,1,190.0,0.01
