,ticker,maturity,Weight,price,days since last trade,strike,S
0,O:AAPL230714C00050000,0.005479452054794521,0.3333333333333333,140.3,1,50.0,141.6
1,O:AAPL230714C00060000,0.005479452054794521,0.06451612903225806,129.575,1,60.0,129.75
2,O:AAPL230714C00065000,0.005479452054794521,0.1111111111111111,125.675,1,65.0,126.6
3,O:AAPL230714C00080000,0.005479452054794521,0.34615384615384615,109.8,2,80.0,109.8
4,O:AAPL230714C00090000,0.005479452054794521,0.2,99.75,1,90.0,99.75
5,O:AAPL230714C00095000,0.005479452054794521,0.8181818181818182,94.65,2,95.0,94.65
6,O:AAPL230714C00100000,0.005479452054794521,0.3333333333333333,89.85,2,100.0,89.85
7,O:AAPL230714C00105000,0.005479452054794521,0.5238095238095238,84.5773,1,105.0,85.15
8,O:AAPL230714C00125000,0.005479452054794521,0.03225806451612903,64.55,1,125.0,64.55
9,O:AAPL230714C00140000,0.005479452054794521,0.02127659574468085,50.75,1,140.0,50.75
10,O:AAPL230714C00145000,0.005479452054794521,0.0371900826446281,45.55,1,145.0,45.55
11,O:AAPL230714C00150000,0.005479452054794521,0.021929824561403508,40.55,1,150.0,40.95
12,O:AAPL230714C00155000,0.005479452054794521,0.022222222222222223,35.0867,1,155.0,35.28
13,O:AAPL230714C00157500,0.005479452054794521,0.1896551724137931,33.2727,1,157.5,33.3
14,O:AAPL230714C00160000,0.005479452054794521,0.09508196721311475,30.2503,1,160.0,30.4
15,O:AAPL230714C00162500,0.005479452054794521,0.022813688212927757,27.375,1,162.5,27.35
16,O:AAPL230714C00165000,0.005479452054794521,0.16049382716049382,24.7078,1,165.0,25.1
17,O:AAPL230714C00167500,0.005479452054794521,0.12034383954154727,22.539,1,167.5,22.55
18,O:AAPL230714C00170000,0.005479452054794521,0.05415713196033562,20.0886,1,170.0,20.2
19,O:AAPL230714C00172500,0.005479452054794521,0.22123893805309736,17.4432,1,172.5,17.65
20,O:AAPL230714C00175000,0.005479452054794521,0.15947329919531822,14.8328,1,175.0,14.64
21,O:AAPL230714C00177500,0.005479452054794521,0.05669546436285097,12.655,1,177.5,12.4
22,O:AAPL230714C00180000,0.005479452054794521,0.14433839990573819,9.8624,1,180.0,9.71
23,O:AAPL230714C00182500,0.005479452054794521,0.14329619669611987,7.7471,1,182.5,7.5
24,O:AAPL230714C00185000,0.005479452054794521,0.10587422560948434,5.0985,1,185.0,4.83
